 # time              Etot              Ltot
   0.15600000E+002  -0.14267172E+007   0.29827695E+009
   0.15700000E+002  -0.14263559E+007   0.29827695E+009
   0.15800000E+002  -0.14259991E+007   0.29827695E+009
   0.15900000E+002  -0.14256467E+007   0.29827695E+009
   0.16000000E+002  -0.14252987E+007   0.29827694E+009
   0.16100000E+002  -0.14249551E+007   0.29827694E+009
   0.16200000E+002  -0.14246157E+007   0.29827694E+009
   0.16300000E+002  -0.14242806E+007   0.29827694E+009
   0.16400000E+002  -0.14239498E+007   0.29827693E+009
   0.16500000E+002  -0.14236232E+007   0.29827693E+009
   0.16600000E+002  -0.14233007E+007   0.29827693E+009
   0.16700000E+002  -0.14229825E+007   0.29827693E+009
   0.16800000E+002  -0.14226683E+007   0.29827693E+009
   0.16900000E+002  -0.14223582E+007   0.29827692E+009
   0.17000000E+002  -0.14220522E+007   0.29827692E+009
   0.17100000E+002  -0.14217503E+007   0.29827692E+009
   0.17200000E+002  -0.14214523E+007   0.29827692E+009
   0.17300000E+002  -0.14211584E+007   0.29827692E+009
   0.17400000E+002  -0.14208685E+007   0.29827691E+009
   0.17500000E+002  -0.14205825E+007   0.29827691E+009
   0.17600000E+002  -0.14203004E+007   0.29827691E+009
   0.17700000E+002  -0.14200223E+007   0.29827691E+009
   0.17800000E+002  -0.14197482E+007   0.29827690E+009
   0.17900000E+002  -0.14194779E+007   0.29827690E+009
   0.18000000E+002  -0.14192115E+007   0.29827690E+009
   0.18100000E+002  -0.14189490E+007   0.29827690E+009
   0.18200000E+002  -0.14186903E+007   0.29827690E+009
   0.18300000E+002  -0.14184355E+007   0.29827689E+009
   0.18400000E+002  -0.14181846E+007   0.29827689E+009
   0.18500000E+002  -0.14179375E+007   0.29827689E+009
   0.18600000E+002  -0.14176943E+007   0.29827689E+009
   0.18700000E+002  -0.14174549E+007   0.29827688E+009
   0.18800000E+002  -0.14172193E+007   0.29827688E+009
   0.18900000E+002  -0.14169876E+007   0.29827688E+009
   0.19000000E+002  -0.14167597E+007   0.29827688E+009
   0.19100000E+002  -0.14165357E+007   0.29827688E+009
   0.19200000E+002  -0.14163155E+007   0.29827687E+009
   0.19300000E+002  -0.14160992E+007   0.29827687E+009
   0.19400000E+002  -0.14158867E+007   0.29827687E+009
   0.19500000E+002  -0.14156781E+007   0.29827687E+009
   0.19600000E+002  -0.14154734E+007   0.29827687E+009
   0.19700000E+002  -0.14152726E+007   0.29827686E+009
   0.19800000E+002  -0.14150757E+007   0.29827686E+009
   0.19900000E+002  -0.14148827E+007   0.29827686E+009
   0.20000000E+002  -0.14146936E+007   0.29827686E+009
   0.20100000E+002  -0.14145085E+007   0.29827685E+009
   0.20200000E+002  -0.14143274E+007   0.29827685E+009
   0.20300000E+002  -0.14141503E+007   0.29827685E+009
   0.20400000E+002  -0.14139772E+007   0.29827685E+009
   0.20500000E+002  -0.14138082E+007   0.29827685E+009
   0.20600000E+002  -0.14136433E+007   0.29827684E+009
   0.20700000E+002  -0.14134825E+007   0.29827684E+009
   0.20800000E+002  -0.14133258E+007   0.29827684E+009
   0.20900000E+002  -0.14131734E+007   0.29827684E+009
   0.21000000E+002  -0.14130252E+007   0.29827683E+009
   0.21100000E+002  -0.14128812E+007   0.29827683E+009
   0.21200000E+002  -0.14127416E+007   0.29827683E+009
   0.21300000E+002  -0.14126064E+007   0.29827683E+009
   0.21400000E+002  -0.14124756E+007   0.29827683E+009
   0.21500000E+002  -0.14123493E+007   0.29827682E+009
   0.21600000E+002  -0.14122276E+007   0.29827682E+009
   0.21700000E+002  -0.14121105E+007   0.29827682E+009
   0.21800000E+002  -0.14119980E+007   0.29827682E+009
   0.21900000E+002  -0.14118903E+007   0.29827682E+009
   0.22000000E+002  -0.14117875E+007   0.29827681E+009
   0.22100000E+002  -0.14116896E+007   0.29827681E+009
   0.22200000E+002  -0.14115966E+007   0.29827681E+009
   0.22300000E+002  -0.14115088E+007   0.29827681E+009
   0.22400000E+002  -0.14114262E+007   0.29827680E+009
   0.22500000E+002  -0.14113489E+007   0.29827680E+009
   0.22600000E+002  -0.14112771E+007   0.29827680E+009
   0.22700000E+002  -0.14112107E+007   0.29827680E+009
   0.22800000E+002  -0.14111501E+007   0.29827680E+009
   0.22900000E+002  -0.14110953E+007   0.29827679E+009
   0.23000000E+002  -0.14110464E+007   0.29827679E+009
   0.23100000E+002  -0.14110037E+007   0.29827679E+009
